t,U
28.66136364,8.737604469
28.68777273,9.444324347
28.71229545,10.19775705
28.73870455,10.86680529
28.77265909,11.4590034
28.81415909,11.67188239
28.84811364,11.19228822
28.87075,10.45271868
28.87640909,9.766040112
28.89527273,9.054046206
28.90281818,8.373696473
28.91413636,7.424371264
28.92922727,6.395935622
28.93677273,5.378048037
28.94431818,4.550025494
28.95563636,3.500493736
28.9694697,2.503702267
28.97701515,1.586021232
28.98581818,0.8265610651
28.98959091,-0.1508922978
29.00656818,-1.019349063
29.01788636,-1.546751956
29.02228788,-2.42224076
29.03109091,-3.11313855
29.04240909,-3.888420804
29.07447727,-4.834869269
29.11597727,-4.869390186
29.15747727,-4.268150887
29.19897727,-3.825132457
29.24047727,-3.523074436
29.28197727,-3.44252563
29.32347727,-3.23540013
29.36497727,-2.982246741
29.40647727,-2.683065463
29.44797727,-2.435665561
29.48947727,-2.314842352
29.53097727,-2.061688963
29.57247727,-1.831549519
29.61397727,-1.831549519
29.65547727,-1.78552163
29.69697727,-1.704972824
29.73847727,-1.658944935
29.77997727,-1.57839613
29.82147727,-1.647437963
29.86297727,-1.704972824
29.90447727,-1.658944935
29.94597727,-1.57839613
29.98747727,-1.509354296
30.01811364,-1.57839613
30.05961364,-1.57839613
30.10111364,-1.486340352
30.14261364,-1.37127063
30.18411364,-1.161268387
30.22561364,-0.9138684839
30.26711364,-0.7240034422
30.30861364,-0.3126291851
30.3522096,0.1233572069
30.38972727,0.5829009282
30.42179545,1.319306054
30.44631818,2.113424126
30.47272727,2.899254437
30.49913636,3.749691603
30.52743182,4.535961417
30.54818182,5.327944762
30.57836364,6.150693276
30.60854545,7.139573702
30.63495455,7.988692361
30.66136364,8.737604469
30.68777273,9.444324347
30.71229545,10.19775705
30.73870455,10.86680529
30.77265909,11.4590034
30.81415909,11.67188239
30.84811364,11.19228822
30.87075,10.45271868
30.87640909,9.766040112
30.89527273,9.054046206
30.90281818,8.373696473
30.91413636,7.424371264
30.92922727,6.395935622
30.93677273,5.378048037
30.94431818,4.550025494
30.95563636,3.500493736
30.9694697,2.503702267
30.97701515,1.586021232
30.98581818,0.8265610651
30.98959091,-0.1508922978
31.00656818,-1.019349063
31.01788636,-1.546751956
31.02228788,-2.42224076
31.03109091,-3.11313855
31.04240909,-3.888420804
31.07447727,-4.834869269
31.11597727,-4.869390186
31.15747727,-4.268150887
31.19897727,-3.825132457
31.24047727,-3.523074436
31.28197727,-3.44252563
31.32347727,-3.23540013
31.36497727,-2.982246741
31.40647727,-2.683065463
31.44797727,-2.435665561
31.48947727,-2.314842352
31.53097727,-2.061688963
31.57247727,-1.831549519
31.61397727,-1.831549519
31.65547727,-1.78552163
31.69697727,-1.704972824
31.73847727,-1.658944935
31.77997727,-1.57839613
31.82147727,-1.647437963
31.86297727,-1.704972824
31.90447727,-1.658944935
31.94597727,-1.57839613
31.98747727,-1.509354296
32.01811364,-1.57839613
32.05961364,-1.57839613
32.10111364,-1.486340352
32.14261364,-1.37127063
32.18411364,-1.161268387
